store_id,store_name,store_name_english,score,review_cnt,url,url_english,address,prefecture,address_english,prefecture_english,website
00000074,スープカレー屋 鴻 神田駿河台店,Supukareyaoodori,3.78,1001,https://tabelog.com/tokyo/A1310/A131003/13040204/,https://tabelog.com/en/tokyo/A1310/A131003/13040204/,東京都千代田区神田小川町3-10-18,東京都,3-chome-10-18 Kanda Ogawamachi Chiyoda City Tokyo-to,Tokyo,
00000075,CURRY SHOP くじら 高円寺,kari-shoppukujira,3.76,746,https://tabelog.com/tokyo/A1319/A131904/13149528/,https://tabelog.com/en/tokyo/A1319/A131904/13149528/,東京都杉並区高円寺北3-22-8 大一市場 1Ｆ,東京都,3-chome-22-8 Koenjikita Suginami City Tokyo-to,Tokyo,https://www.dre-come.com/kujira.html
00000076,レインボウスパイス,RAINBOW SPICE,3.74,947,https://tabelog.com/tokyo/A1329/A132901/13147181/,https://tabelog.com/en/tokyo/A1329/A132901/13147181/,東京都立川市柴崎町3-3-4 英ビル 1F,東京都,3-chome-3-4 Shibasakicho Tachikawa Tokyo-to,Tokyo,http://rbspice.exblog.jp/
00000077,ハブモアカレー,Have more curry,3.70,269,https://tabelog.com/tokyo/A1303/A130301/13254583/,https://tabelog.com/en/tokyo/A1303/A130301/13254583/,東京都渋谷区猿楽町2-13 F93 Daikanyama 1F,東京都,2-13 Sarugakucho Shibuya City Tokyo,Tokyo,https://havemorecurry.jp/
00000078,火星カレー,Kaseikare,3.69,753,https://tabelog.com/tokyo/A1305/A130501/13170490/,https://tabelog.com/en/tokyo/A1305/A130501/13170490/,東京都豊島区西池袋3-27-3 S&Kビル B1F,東京都,3-chome-27-3 Nishiikebukuro Toshima City Tokyo-to,Tokyo,
00000079,カレーの店 プーさん,kare-nomisepu-san,3.76,989,https://tabelog.com/tokyo/A1325/A132501/13005962/,https://tabelog.com/en/tokyo/A1325/A132501/13005962/,東京都小金井市前原町3-40-27,東京都,3-chome-40-27 Maeharacho Koganei Tokyo-to,Tokyo,
00000080,ガネー舎,Ganesha,3.73,760,https://tabelog.com/tokyo/A1301/A130103/13001507/,https://tabelog.com/en/tokyo/A1301/A130103/13001507/,東京都港区新橋5-12-2 鴻盟社ビル　Ｂ１Ｆ,東京都,5-chome-12-2 Shinbashi Minato City Tokyo-to,Tokyo,
00000081,ジンコック,Jinkokku,3.77,567,https://tabelog.com/tokyo/A1310/A131002/13102075/,https://tabelog.com/en/tokyo/A1310/A131002/13102075/,東京都千代田区神田須田町1-2-3 山勝ビル 1F,東京都,1-chome-2-3 Kanda Sudacho Chiyoda City Tokyo-to,Tokyo,
00000082,カリー＆ワイン ビストロべっぴん舎 お茶の水店,kari-andowaimbisutorobeppinsha,3.77,816,https://tabelog.com/tokyo/A1310/A131002/13198751/,https://tabelog.com/en/tokyo/A1310/A131002/13198751/,東京都千代田区神田小川町3-10-1 駿台ビル 2F,東京都,3-chome-10-1 Kanda Ogawamachi Chiyoda City Tokyo-to,Tokyo,https://www.beppinsya.com/
00000083,タイカリーピキヌー,Taikaripikinu,3.73,552,https://tabelog.com/tokyo/A1317/A131707/13001446/,https://tabelog.com/en/tokyo/A1317/A131707/13001446/,東京都世田谷区駒沢1-4-10 サエキビル　１Ｆ,東京都,1-chome-4-10 Komazawa Setagaya City Tokyo-to,Tokyo,http://www.pknoo.com/
00000084,東新宿 サンラサー,higashishinjukusanrasa-,3.70,263,https://tabelog.com/tokyo/A1304/A130401/13215551/,https://tabelog.com/en/tokyo/A1304/A130401/13215551/,東京都新宿区新宿6-27-17 カノープス新宿 3Ｆ,東京都,6-chome-27-17 Shinjuku Shinjuku City Tokyo-to,Tokyo,https://sanrasa.wordpress.com
00000085,アッチャカーナ,Acchakana,3.69,683,https://tabelog.com/tokyo/A1317/A131708/13003136/,https://tabelog.com/en/tokyo/A1317/A131708/13003136/,東京都世田谷区玉川3-17-1 玉川タカシマヤ 1F,東京都,3 Chome-17-1 Tamagawa Setagaya City Tokyo-to,Tokyo,https://www.le-cafe.co.jp
00000086,月と亀,Tsukitokame,3.87,298,https://tabelog.com/tokyo/A1312/A131201/13262828/,https://tabelog.com/en/tokyo/A1312/A131201/13262828/,東京都江東区新大橋3-7-3,東京都,3-chome-7-3 Shinohashi Koto City Tokyo,Tokyo,https://tukitokame.jimdosite.com
00000087,チャントーヤ ココナッツカリー,CHANTOYA COCONUT CURRY,3.77,720,https://tabelog.com/tokyo/A1310/A131002/13131134/,https://tabelog.com/en/tokyo/A1310/A131002/13131134/,東京都千代田区神田小川町3-28-7 昇龍館ビル 1F,東京都,3-chome-28-7 Kanda Ogawamachi Chiyoda City Tokyo-to,Tokyo,https://www.chantoya.com/
00000088,ヨゴロウ,YOGORO,3.82,1094,https://tabelog.com/tokyo/A1306/A130601/13076645/,https://tabelog.com/en/tokyo/A1306/A130601/13076645/,東京都渋谷区神宮前2-20-10 小松ビル 1F,東京都,2 Chome-20 Jingumae Shibuya City Tokyo,Tokyo,
00000089,マジックスパイス 東京下北沢店,Magic Spice,3.69,1159,https://tabelog.com/tokyo/A1318/A131802/13004603/,https://tabelog.com/en/tokyo/A1318/A131802/13004603/,東京都世田谷区北沢1-40-15 北沢ゴルフマンション 1F,東京都,1-chome-40-15 Kitazawa Setagaya City Tokyo-to,Tokyo,http://www.magicspice.net/
00000090,欧風カレー ボンディ 神保町本店,Bondy,3.70,3961,https://tabelog.com/tokyo/A1310/A131003/13000439/,https://tabelog.com/en/tokyo/A1310/A131003/13000439/,東京都千代田区神田神保町2-3 神田古書センター ２Ｆ,東京都,Tokyo-to Chiyoda City Kanda Jinbocho ホーム 3,Tokyo,https://bondy.co.jp/
00000091,東京ドミニカ,Toukyoudominika,3.69,957,https://tabelog.com/tokyo/A1304/A130401/13124113/,https://tabelog.com/en/tokyo/A1304/A130401/13124113/,東京都新宿区新宿3-31-1 第２大伸ビルB1F,東京都,3-chome-31-1 Shinjuku Shinjuku City Tokyo-to,Tokyo,
00000092,吉田カレー,Yoshidakare,3.83,1296,https://tabelog.com/tokyo/A1319/A131906/13132405/,https://tabelog.com/en/tokyo/A1319/A131906/13132405/,東京都杉並区天沼3-8-2 2Ｆ,東京都,3-chome-8-2 Amanuma Suginami City Tokyo-to,Tokyo,http://yoshidacurry.com/
00000093,ニューキャッスル,Nikyassuru,3.70,799,https://tabelog.com/tokyo/A1301/A130101/13002424/,https://tabelog.com/en/tokyo/A1301/A130101/13002424/,東京都中央区銀座2-11-1 銀座ランドビル Ｂ1Ｆ,東京都,2-chome-11-1 Ginza Chuo City Tokyo-to,Tokyo,http://newcastleginza.com/
00000094,スパイスパレット,Supaisuparetto,3.72,339,https://tabelog.com/tokyo/A1311/A131101/13240357/,https://tabelog.com/en/tokyo/A1311/A131101/13240357/,東京都台東区台東1-9-4 松浦ビル 2F,東京都,1-chome-9-4 Taito Taito City Tokyo-to,Tokyo,
00000095,イエローカンパニー 恵比寿本店,YELLOW COMPANY,3.72,936,https://tabelog.com/tokyo/A1303/A130302/13014312/,https://tabelog.com/en/tokyo/A1303/A130302/13014312/,東京都渋谷区東3-14-19 オークヒルズ　１Ｆ,東京都,3-chome-14-19 Higashi Shibuya City Tokyo-to,Tokyo,http://www.yellowcompany.jp/
00000096,デリー 上野店,DELHI,3.79,2513,https://tabelog.com/tokyo/A1311/A131101/13003605/,https://tabelog.com/en/tokyo/A1311/A131101/13003605/,東京都文京区湯島3-42-2,東京都,3-chome-42-2 Yushima Bunkyo City Tokyo-to,Tokyo,http://www.delhi.co.jp/
00000097,トマト,Tomato,3.93,2123,https://tabelog.com/tokyo/A1319/A131906/13001113/,https://tabelog.com/en/tokyo/A1319/A131906/13001113/,東京都杉並区荻窪5-20-7 吉田ビル　１Ｆ,東京都,5-chome-20-7 Ogikubo Suginami City Tokyo-to,Tokyo,
00000098,旧ヤム邸  シモキタ荘,kyuuyamutei,3.80,1447,https://tabelog.com/tokyo/A1318/A131802/13211142/,https://tabelog.com/en/tokyo/A1318/A131802/13211142/,東京都世田谷区代沢5-29-9 ナイスビル 1F,東京都,5-chome-29-9 Daizawa Setagaya City Tokyo-to,Tokyo,
00000099,スパイスポスト,SPICE POST,3.84,738,https://tabelog.com/tokyo/A1318/A131810/13210691/,https://tabelog.com/en/tokyo/A1318/A131810/13210691/,東京都渋谷区富ヶ谷1-52-2,東京都,1-chome-52-2 Tomigaya Shibuya City Tokyo-to,Tokyo,
00000100,幸正,yukimasa,3.73,740,https://tabelog.com/tokyo/A1301/A130103/13201590/,https://tabelog.com/en/tokyo/A1301/A130103/13201590/,東京都港区新橋5-8-13,東京都,5-chome-8-13 Shinbashi Minato City Tokyo-to,Tokyo,
